user_id,active_user_id,job_post_user_id,search_user_id,chat_user_id,resume_view_user_id,event_date,stat_date,publish_date,product_type,is_equity,job_salary,city_tier_level,org_type_name,company_scale_type,jobtitle1
USR_000000,USR_000000,,,,,2026-01-21,2026-01-21,2026-01-21,权益礼包,权益,8.1,三线城市,SME,100-499人,产品
USR_000000,,,,USR_000000,,2026-01-11,2026-01-11,2026-01-11,在线沟通,非权益,21.5,三线城市,SME,100-499人,产品
USR_000000,USR_000000,,,,,2026-01-03,2026-01-03,2026-01-03,企业认证,非权益,68.1,三线城市,SME,100-499人,产品
USR_000000,USR_000000,,,,USR_000000,2026-01-30,2026-01-30,2026-01-30,简历查看,非权益,8.6,三线城市,SME,100-499人,产品
USR_000000,USR_000000,,,,,2026-02-02,2026-02-02,2026-02-02,权益礼包,权益,18.4,三线城市,SME,100-499人,产品
USR_000000,USR_000000,,,,USR_000000,2026-01-25,2026-01-25,2026-01-25,简历查看,非权益,22.0,三线城市,SME,100-499人,产品
USR_000000,,,USR_000000,,,2026-01-28,2026-01-28,2026-01-28,简历搜索,非权益,9.8,三线城市,SME,100-499人,产品
USR_000001,USR_000001,,,,,2026-02-26,2026-02-26,2026-02-26,企业认证,非权益,21.8,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-09,2026-01-09,2026-01-09,权益礼包,权益,58.5,五线城市,KA,5000-10000人,市场
USR_000001,,,,,USR_000001,2026-01-14,2026-01-14,2026-01-14,简历查看,非权益,11.5,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-02,2026-01-02,2026-01-02,权益礼包,权益,15.4,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-02-13,2026-02-13,2026-02-13,置顶刷新,权益,5.6,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-17,2026-01-17,2026-01-17,急聘推广,权益,24.6,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,USR_000001,,,2026-01-06,2026-01-06,2026-01-06,简历搜索,非权益,20.1,五线城市,KA,5000-10000人,市场
USR_000001,,,,,,2026-01-18,2026-01-18,2026-01-18,权益礼包,权益,55.5,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-02-05,2026-02-05,2026-02-05,急聘推广,权益,50.9,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-14,2026-01-14,2026-01-14,企业认证,非权益,5.8,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-21,2026-01-21,2026-01-21,企业认证,非权益,10.7,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,,2026-01-24,2026-01-24,2026-01-24,权益礼包,权益,10.9,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,USR_000001,2026-02-14,2026-02-14,2026-02-14,简历查看,非权益,34.2,五线城市,KA,5000-10000人,市场
USR_000001,,USR_000001,,,,2026-01-25,2026-01-25,2026-01-25,职位发布,非权益,31.6,五线城市,KA,5000-10000人,市场
USR_000001,USR_000001,,,,USR_000001,2026-01-08,2026-01-08,2026-01-08,简历查看,非权益,35.4,五线城市,KA,5000-10000人,市场
USR_000002,USR_000002,,USR_000002,,,2026-02-08,2026-02-08,2026-02-08,简历搜索,非权益,49.4,二线城市,SME,100-499人,客服
USR_000002,USR_000002,USR_000002,,,,2026-01-08,2026-01-08,2026-01-08,职位发布,非权益,6.8,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,,2026-01-23,2026-01-23,2026-01-23,置顶刷新,权益,24.7,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,USR_000002,2026-02-09,2026-02-09,2026-02-09,简历查看,非权益,19.8,二线城市,SME,100-499人,客服
USR_000002,,,,USR_000002,,2026-02-06,2026-02-06,2026-02-06,在线沟通,非权益,39.0,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,,2026-01-26,2026-01-26,2026-01-26,权益礼包,权益,10.3,二线城市,SME,100-499人,客服
USR_000002,,,,USR_000002,,2026-01-09,2026-01-09,2026-01-09,在线沟通,非权益,7.1,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,USR_000002,2026-01-13,2026-01-13,2026-01-13,简历查看,非权益,45.7,二线城市,SME,100-499人,客服
USR_000002,USR_000002,USR_000002,,,,2026-02-21,2026-02-21,2026-02-21,职位发布,非权益,26.4,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,,2026-01-23,2026-01-23,2026-01-23,权益礼包,权益,19.0,二线城市,SME,100-499人,客服
USR_000002,,,,,,2026-02-05,2026-02-05,2026-02-05,权益礼包,权益,21.4,二线城市,SME,100-499人,客服
USR_000002,,,,USR_000002,,2026-01-22,2026-01-22,2026-01-22,在线沟通,非权益,22.6,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,,2026-02-26,2026-02-26,2026-02-26,急聘推广,权益,16.0,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,USR_000002,2026-02-13,2026-02-13,2026-02-13,简历查看,非权益,43.7,二线城市,SME,100-499人,客服
USR_000002,USR_000002,,,,,2026-02-27,2026-02-27,2026-02-27,企业认证,非权益,12.9,二线城市,SME,100-499人,客服
